ALOGPS_order,Compound_ID,SMILES,logP_exp,N_count,FM,ALOGPS_2_1_logP,ALOGPS_logS,delta_ALOGPS_2_1_logP,abs_delta_ALOGPS_2_1_logP,ALOGPS_output_SMILES
40,CMR_GOLD_041,O=C1OC2=CC=CC=C2C(/C(N)=N\OC(C)=O)=C1,1.0,2,FM1,1.13,-3.12,-0.1299999999999999,0.1299999999999999,O=C1Oc2ccccc2C(C(N)=NOC(C)=O)=C1
41,CMR_GOLD_042,O=C1OC2=CC=CC=C2C(/C=N\NC3=CC=CC=C3)=C1,3.63,2,FM2,3.67,-4.09,-0.040000000000000036,0.040000000000000036,O=C1Oc2ccccc2C(C=NNc3ccccc3)=C1
42,CMR_GOLD_043,O=C1OC2=CC=CC=C2C(C3=NOC=N3)=C1,1.95,2,FM2,1.95,-2.22,0.0,0.0,O=C1Oc2ccccc2C(c3nocn3)=C1
43,CMR_GOLD_044,O=C1OC2=CC=CC=C2C(C3=NOC(C)=N3)=C1,2.12,2,FM2,2.32,-2.58,-0.19999999999999973,0.19999999999999973,O=C1Oc2ccccc2C(c3noc(C)n3)=C1
44,CMR_GOLD_045,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=CC=C4)=N3)=C1,3.22,2,FM2,3.76,-3.48,-0.5399999999999996,0.5399999999999996,O=C1Oc2ccccc2C(c3noc(c4ccccc4)n3)=C1
45,CMR_GOLD_046,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=C(OC)C=C4)=N3)=C1,2.98,2,FM2,2.91,-3.5,0.06999999999999984,0.06999999999999984,O=C1Oc2ccccc2C(c3noc(c4ccc(OC)cc4)n3)=C1
46,CMR_GOLD_047,O=C1OC2=CC=CC=C2C(C3=NOCN3)=C1,1.98,2,FM2,0.93,-2.55,1.0499999999999998,1.0499999999999998,O=C1Oc2ccccc2C(C3=NOCN3)=C1
47,CMR_GOLD_048,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3)=C1,1.93,2,FM2,1.39,-2.65,0.54,0.54,O=C1Oc2ccccc2C(C3=NOC(C)N3)=C1
48,CMR_GOLD_049,O=C1OC2=CC=CC=C2C(C3=NOCN3C4=CC=CC=C4)=C1,2.45,2,FM2,2.65,-3.16,-0.19999999999999973,0.19999999999999973,O=C1Oc2ccccc2C(C3=NOCN3c4ccccc4)=C1
49,CMR_GOLD_050,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3C4=CC=CC=C4)=C1,2.7,2,FM2,3.16,-3.44,-0.45999999999999996,0.45999999999999996,O=C1Oc2ccccc2C(C3=NOC(C)N3c4ccccc4)=C1
50,CMR_GOLD_051,O=C1OC2=CC=CC=C2C(C3=NOC(N3C4=CC=CC=C4)=S)=C1,3.03,2,FM2,3.36,-4.48,-0.33000000000000007,0.33000000000000007,O=C1Oc2ccccc2C(C3=NOC(N3c4ccccc4)=S)=C1
51,CMR_GOLD_052,O=C1OC2=CC=CC=C2C(C3=NOS(N3C4=CC=CC=C4)=O)=C1,2.16,2,FM2,2.85,-2.22,-0.69,0.69,O=C1Oc2ccccc2C(C3=NOS(N3c4ccccc4)=O)=C1
52,CMR_GOLD_053,O=C1OC2=CC=CC=C2C(C3=NC(C4=CC=C(OC)C=C4)=NO3)=C1,3.07,2,FM2,2.83,-3.5,0.23999999999999977,0.23999999999999977,O=C1Oc2ccccc2C(c3nc(c4ccc(OC)cc4)no3)=C1
53,CMR_GOLD_054,O=C1OC2=CC=CC=C2C(C3ON=C(C4=CC=C(OC)C=C4)O3)=C1,3.04,1,FM2,3.38,-4.2,-0.33999999999999986,0.33999999999999986,O=C1Oc2ccccc2C(C3ON=C(c4ccc(OC)cc4)O3)=C1
54,CMR_GOLD_055,O=C1OC2=C(C=CC=C2)C=C1,1.39,0,FM0,1.72,-2.16,-0.33000000000000007,0.33000000000000007,O=C1Oc2c(cccc2)C=C1
55,CMR_GOLD_056,O=C1OC2=C(C=CC=C2)C=C1/N=C(C(C=CC=C3)=C3N4)/C4=N/CC(O)=O,0.42,3,FM1,2.59,-3.83,-2.17,2.17,O=C1Oc2c(cccc2)C=C1N=C(c(cccc3)c3N4)C4=NCC(O)=O
56,CMR_GOLD_057,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=O)=CC4=C(C=C(N(C)C)C=C4)O1,1.365,2,FM1,5.49,-5.81,-4.125,4.125,O=C1C(C=CC(c2ccc(c3ccc(N(C)C)cc3)s2)=O)=Cc4c(cc(N(C)C)cc4)O1
57,CMR_GOLD_058,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(CC)CC)C=C3)S2)=O)=CC4=C(C=C(N(CC)CC)C=C4)O1,0.9664,2,FM1,6.84,-6.26,-5.8736,5.8736,O=C1C(C=CC(c2ccc(c3ccc(N(CC)CC)cc3)s2)=O)=Cc4c(cc(N(CC)CC)cc4)O1
58,CMR_GOLD_059,O=C1C=CC2=C(C=C3C(C=CO3)=C2)O1,1.67,0,FM0,2.15,-3.14,-0.48,0.48,O=C1C=Cc2c(cc3c(cco3)c2)O1
59,CMR_GOLD_060,O=C1C=CC2=C(C(OC)=C3C(C=CO3)=C2)O1,1.93,0,FM0,2.1,-3.12,-0.17000000000000015,0.17000000000000015,O=C1C=Cc2c(c(OC)c3c(cco3)c2)O1
60,CMR_GOLD_061,O=C1C=CC2=C(C=C3C(C=CO3)=C2OC)O1,2.0,0,FM0,2.12,-3.16,-0.1200000000000001,0.1200000000000001,O=C1C=Cc2c(cc3c(cco3)c2OC)O1
61,CMR_GOLD_062,O=C1C=C(C)C2=C(C(C)=C3C(C=C(C)O3)=C2)O1,3.14,0,FM4,3.26,-3.56,-0.11999999999999966,0.11999999999999966,O=C1C=C(C)c2c(c(C)c3c(cc(C)o3)c2)O1
