Compound_ID,SMILES,logP_exp,N_count,FM,OPERA_logP,OPERA_logP_predRange,OPERA_AD_LogP,OPERA_AD_index_LogP,OPERA_Conf_index_LogP,delta_OPERA_logP,abs_delta_OPERA_logP
CMR_GOLD_041,O=C1OC2=CC=CC=C2C(/C(N)=N\OC(C)=O)=C1,1.0,2,FM1,-0.36,[-1.45:0.73],1,0.549,0.476,1.3599999999999999,1.3599999999999999
CMR_GOLD_042,O=C1OC2=CC=CC=C2C(/C=N\NC3=CC=CC=C3)=C1,3.63,2,FM2,2.51,[1.5:3.52],1,0.579,0.503,1.12,1.12
CMR_GOLD_043,O=C1OC2=CC=CC=C2C(C3=NOC=N3)=C1,1.95,2,FM2,1.33,[0.5:2.1],1,0.557,0.565,0.6199999999999999,0.6199999999999999
CMR_GOLD_044,O=C1OC2=CC=CC=C2C(C3=NOC(C)=N3)=C1,2.12,2,FM2,1.97,[0.65:3.29],1,0.566,0.483,0.15000000000000013,0.15000000000000013
CMR_GOLD_045,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=CC=C4)=N3)=C1,3.22,2,FM2,2.56,[1.5:3.55],1,0.544,0.523,0.6600000000000001,0.6600000000000001
CMR_GOLD_046,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=C(OC)C=C4)=N3)=C1,2.98,2,FM2,2.4,[1.73:3.09],1,0.519,0.611,0.5800000000000001,0.5800000000000001
CMR_GOLD_047,O=C1OC2=CC=CC=C2C(C3=NOCN3)=C1,1.98,2,FM2,0.78,[-0.09:1.65],1,0.559,0.568,1.2,1.2
CMR_GOLD_048,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3)=C1,1.93,2,FM2,0.71,[-0.55:1.72],1,0.603,0.467,1.22,1.22
CMR_GOLD_049,O=C1OC2=CC=CC=C2C(C3=NOCN3C4=CC=CC=C4)=C1,2.45,2,FM2,2.22,[1.08:3.36],1,0.552,0.495,0.22999999999999998,0.22999999999999998
CMR_GOLD_050,O=C1OC2=CC=CC=C2C(C3=NOC(C)N3C4=CC=CC=C4)=C1,2.7,2,FM2,2.93,[1.99:3.87],1,0.568,0.563,-0.22999999999999998,0.22999999999999998
CMR_GOLD_051,O=C1OC2=CC=CC=C2C(C3=NOC(N3C4=CC=CC=C4)=S)=C1,3.03,2,FM2,2.74,[1.38:4.1],1,0.491,0.459,0.2899999999999996,0.2899999999999996
CMR_GOLD_052,O=C1OC2=CC=CC=C2C(C3=NOS(N3C4=CC=CC=C4)=O)=C1,2.16,2,FM2,3.02,[0.83:5.2],1,0.424,0.241,-0.8599999999999999,0.8599999999999999
CMR_GOLD_053,O=C1OC2=CC=CC=C2C(C3=NC(C4=CC=C(OC)C=C4)=NO3)=C1,3.07,2,FM2,2.49,[1.75:3.23],1,0.503,0.6,0.5799999999999996,0.5799999999999996
