External_ID,Sangster_ID,Name,CASRN,Canonical_SMILES,InChIKey,logP_exp,N_count,N_group,logP_bin,O_count,MW,TPSA,HBD,HBA,Heavy_atoms,dot_disconnected_entry,strict_coumarin_any,aromatic_coumarin_core,overlap_exact_inchikey_with_95,overlap_first_block_with_95,SMILES,Formula,InChIKey_first_block,valid_mol,strict_coumarin_core,four_hydroxycoumarin_like,name_contains_coumarin,coumarin_candidate_any
SANG_CMR_EXT_018,R38328632,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5-methyl-",73459-03-7,Cc1cc2occc2c2oc(=O)ccc12,ZJVOHJVSTORGLI-UHFFFAOYSA-N,2.5,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.19299999999998,43.35,0,3,15,False,True,True,False,False,CC1=C2C=CC(=O)OC2=C2C=COC2=C1,C12H8O3,ZJVOHJVSTORGLI,True,False,False,True,True
SANG_CMR_EXT_019,R38328634,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 8-METHYL-",15798-77-3,Cc1cc2c(ccc3ccc(=O)oc32)o1,VVZYOVZUPIFCCR-UHFFFAOYSA-N,2.49,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.19299999999996,43.35,0,3,15,False,True,True,False,False,CC1=CC2=C3OC(=O)C=CC3=CC=C2O1,C12H8O3,VVZYOVZUPIFCCR,True,False,False,True,True
SANG_CMR_EXT_020,R38328636,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 9-METHYL-",78982-40-8,Cc1coc2ccc3ccc(=O)oc3c12,NHOICFAHZSXGJY-UHFFFAOYSA-N,2.51,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.19299999999996,43.35,0,3,15,False,True,True,False,False,CC1=COC2=CC=C3C=CC(=O)OC3=C12,C12H8O3,NHOICFAHZSXGJY,True,False,False,True,True
SANG_CMR_EXT_021,R38328637,"7H-furo[3,2-g][1]benzopyran-7-one, 4-methyl-",15912-89-7,Cc1c2ccoc2cc2oc(=O)ccc12,CDPRWGCJWLAYAD-UHFFFAOYSA-N,2.33,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.19299999999998,43.35,0,3,15,False,True,True,False,False,CC1=C2C=COC2=CC2=C1C=CC(=O)O2,C12H8O3,CDPRWGCJWLAYAD,True,False,False,False,True
SANG_CMR_EXT_022,R38328638,"7H-Furo[3,2-g][1]benzopyran-7-one, 9-methyl-",15912-88-6,Cc1c2occc2cc2ccc(=O)oc12,IVUMRIXSXVKOMB-UHFFFAOYSA-N,2.48,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.19299999999998,43.35,0,3,15,False,True,True,False,False,CC1=C2OC=CC2=CC2=C1OC(=O)C=C2,C12H8O3,IVUMRIXSXVKOMB,True,False,False,False,True
SANG_CMR_EXT_023,R38328640,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6-methyl-",90370-14-2,Cc1cc2ccc(=O)oc2c2ccoc12,PFVGXOYZQOJGGR-UHFFFAOYSA-N,2.43,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.19299999999998,43.35,0,3,15,False,True,True,False,False,CC1=C2OC=CC2=C2OC(=O)C=CC2=C1,C12H8O3,PFVGXOYZQOJGGR,True,False,False,True,True
SANG_CMR_EXT_024,R38328642,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3-methyl-",91666-89-6,Cc1cc2ccc3occc3c2oc1=O,LFOMIXFRGAIFQF-UHFFFAOYSA-N,2.49,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.19299999999996,43.35,0,3,15,False,True,True,False,False,CC1=CC2=CC=C3OC=CC3=C2OC1=O,C12H8O3,LFOMIXFRGAIFQF,True,False,False,True,True
SANG_CMR_EXT_025,R38328643,"7H-Furo[3,2-g][1]benzopyran-7-one, 3-methyl-",1137-75-3,Cc1coc2cc3oc(=O)ccc3cc12,NHIJIVPEMQAWBA-UHFFFAOYSA-N,2.47,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.19299999999998,43.35,0,3,15,False,True,True,False,False,CC1=COC2=CC3=C(C=CC(=O)O3)C=C12,C12H8O3,NHIJIVPEMQAWBA,True,False,False,False,True
SANG_CMR_EXT_026,R38331371,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,8-dimethyl-",4063-41-6,Cc1cc2c(ccc3c(C)cc(=O)oc32)o1,PFFGIQUVLUEURV-UHFFFAOYSA-N,2.79,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999994,43.35,0,3,16,False,True,True,False,False,CC1=CC2=C3OC(=O)C=C(C)C3=CC=C2O1,C13H10O3,PFFGIQUVLUEURV,True,False,False,True,True
SANG_CMR_EXT_027,R38331373,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,8-dimethyl-",76605-65-7,Cc1cc2c(cc(C)c3ccc(=O)oc32)o1,RINHXDAQQJHPOB-UHFFFAOYSA-N,2.92,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=CC2=C3OC(=O)C=CC3=C(C)C=C2O1,C13H10O3,RINHXDAQQJHPOB,True,False,False,True,True
