Sangster_ID,Name,CASRN,SMILES,logP_exp,Canonical_SMILES,InChIKey,Formula,InChIKey_first_block,valid_mol,strict_coumarin_core,aromatic_coumarin_core,four_hydroxycoumarin_like,strict_coumarin_any,name_contains_coumarin,coumarin_candidate_any,overlap_exact_inchikey_with_95,overlap_first_block_with_95
R38331386,"7H-Furo[3,2-g][1]benzopyran-7-one, 2,3-dimethyl-",4196-58-1,CC1=C(C)C2=CC3=C(OC(=O)C=C3)C=C2O1,2.93,Cc1oc2cc3oc(=O)ccc3cc2c1C,SXACOUILNSSCPR-UHFFFAOYSA-N,C13H10O3,SXACOUILNSSCPR,True,False,True,False,True,False,True,False,False
R38331388,"2H-Furo[2,3-h]-1-benzopyran-2-one, 8,9-dimethyl-",78982-41-9,CC1=C(C)C2=C3OC(=O)C=CC3=CC=C2O1,2.94,Cc1oc2ccc3ccc(=O)oc3c2c1C,JLAPWSNBHNHNRQ-UHFFFAOYSA-N,C13H10O3,JLAPWSNBHNHNRQ,True,False,True,False,True,True,True,False,False
R38331389,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6,8-dimethyl-",90370-11-9,CC1=CC2=C3OC(=O)C=CC3=CC(C)=C2O1,2.85,Cc1cc2c(o1)c(C)cc1ccc(=O)oc12,VWISGRNVMLSLCE-UHFFFAOYSA-N,C13H10O3,VWISGRNVMLSLCE,True,False,True,False,True,True,True,False,False
R38331390,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6,9-dimethyl-",90370-28-8,CC1=COC2=C(C)C=C3C=CC(=O)OC3=C12,2.88,Cc1cc2ccc(=O)oc2c2c(C)coc12,BYQGTFHDFUYLOW-UHFFFAOYSA-N,C13H10O3,BYQGTFHDFUYLOW,True,False,True,False,True,True,True,False,False
R38331392,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,6-dimethyl-",90370-16-4,CC1=C2OC=CC2=C2OC(=O)C=CC2=C1C,2.84,Cc1c(C)c2occc2c2oc(=O)ccc12,WQRSPHCXNJWEAX-UHFFFAOYSA-N,C13H10O3,WQRSPHCXNJWEAX,True,False,True,False,True,True,True,False,False
R38331393,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,6-dimethyl-",90370-15-3,CC1=C2OC=CC2=C2OC(=O)C=C(C)C2=C1,2.79,Cc1cc(=O)oc2c1cc(C)c1occc12,PHABYDNILJBPFQ-UHFFFAOYSA-N,C13H10O3,PHABYDNILJBPFQ,True,False,True,False,True,True,True,False,False
R38331394,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,8-dimethyl-",91666-92-1,CC1=CC2=C3OC(=O)C(C)=CC3=CC=C2O1,2.97,Cc1cc2c(ccc3cc(C)c(=O)oc32)o1,GVJWIPVKSNGMIZ-UHFFFAOYSA-N,C13H10O3,GVJWIPVKSNGMIZ,True,False,True,False,True,True,True,False,False
R38331395,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,9-dimethyl-",91666-91-0,CC1=COC2=CC=C3C=C(C)C(=O)OC3=C12,2.97,Cc1cc2ccc3occ(C)c3c2oc1=O,YVOFWNBKECJEJR-UHFFFAOYSA-N,C13H10O3,YVOFWNBKECJEJR,True,False,True,False,True,True,True,False,False
R38331396,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3,4-dimethyl-",91666-90-9,CC1=C(C)C2=CC=C3OC=CC3=C2OC1=O,2.9,Cc1c(C)c2ccc3occc3c2oc1=O,WBERMSXOELNMLB-UHFFFAOYSA-N,C13H10O3,WBERMSXOELNMLB,True,False,True,False,True,True,True,False,False
R38331399,"7H-Furo[3,2-g][1]benzopyran-7-one, 3,9-dimethyl-",5762-96-9,CC1=COC2=C(C)C3=C(C=CC(=O)O3)C=C12,2.81,Cc1coc2c(C)c3oc(=O)ccc3cc12,RGHZPKMHRQIHSB-UHFFFAOYSA-N,C13H10O3,RGHZPKMHRQIHSB,True,False,True,False,True,False,True,False,False
R38331737,"2H-1-Benzopyran-3-carboxamide, N-(1-methylethyl)-2-oxo-",1846-82-8,CC(C)NC(=O)C1=CC2=CC=CC=C2OC1=O,2.13,CC(C)NC(=O)c1cc2ccccc2oc1=O,DYFRHCOMCPYXPQ-UHFFFAOYSA-N,C13H13NO3,DYFRHCOMCPYXPQ,True,False,True,False,True,False,True,False,False
