External_ID,Sangster_ID,Name,CASRN,Canonical_SMILES,InChIKey,logP_exp,N_count,N_group,logP_bin,O_count,MW,TPSA,HBD,HBA,Heavy_atoms,dot_disconnected_entry,strict_coumarin_any,aromatic_coumarin_core,overlap_exact_inchikey_with_95,overlap_first_block_with_95,SMILES,Formula,InChIKey_first_block,valid_mol,strict_coumarin_core,four_hydroxycoumarin_like,name_contains_coumarin,coumarin_candidate_any,SwissADME_SMILES,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos_IT,Consensus,delta_iLOGP,abs_delta_iLOGP,delta_XLOGP3,abs_delta_XLOGP3,delta_WLOGP,abs_delta_WLOGP,delta_MLOGP,abs_delta_MLOGP,delta_Silicos_IT,abs_delta_Silicos_IT,delta_Consensus,abs_delta_Consensus,Spread4,Consensus_overestimated,Consensus_severe_error,Consensus_severe_overestimation,alert_numeric_high_risk,alert_broad_N_or_spread,lower_concern_screen
SANG_CMR_EXT_021,R38328637,"7H-furo[3,2-g][1]benzopyran-7-one, 4-methyl-",15912-89-7,Cc1c2ccoc2cc2oc(=O)ccc12,CDPRWGCJWLAYAD-UHFFFAOYSA-N,2.33,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.193,43.35,0,3,15,False,True,True,False,False,CC1=C2C=COC2=CC2=C1C=CC(=O)O2,C12H8O3,CDPRWGCJWLAYAD,True,False,False,False,True,O=c1ccc2c(o1)cc1c(c2C)cco1,,0.99,2.85,1.76,2.0,1.9,,,1.34,1.34,-0.52,0.52,0.5700000000000001,0.5700000000000001,0.33000000000000007,0.33000000000000007,0.43000000000000016,0.43000000000000016,1.86,False,False,False,False,False,True
SANG_CMR_EXT_022,R38328638,"7H-Furo[3,2-g][1]benzopyran-7-one, 9-methyl-",15912-88-6,Cc1c2occc2cc2ccc(=O)oc12,IVUMRIXSXVKOMB-UHFFFAOYSA-N,2.48,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.193,43.35,0,3,15,False,True,True,False,False,CC1=C2OC=CC2=CC2=C1OC(=O)C=C2,C12H8O3,IVUMRIXSXVKOMB,True,False,False,False,True,O=c1ccc2c(o1)c(C)c1c(c2)cco1,,0.99,2.85,1.76,2.0,1.9,,,1.49,1.49,-0.3700000000000001,0.3700000000000001,0.72,0.72,0.48,0.48,0.5800000000000001,0.5800000000000001,1.86,False,False,False,False,False,True
SANG_CMR_EXT_023,R38328640,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6-methyl-",90370-14-2,Cc1cc2ccc(=O)oc2c2ccoc12,PFVGXOYZQOJGGR-UHFFFAOYSA-N,2.43,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.193,43.35,0,3,15,False,True,True,False,False,CC1=C2OC=CC2=C2OC(=O)C=CC2=C1,C12H8O3,PFVGXOYZQOJGGR,True,False,False,True,True,O=c1ccc2c(o1)c1ccoc1c(c2)C,,0.99,2.85,1.76,2.0,1.9,,,1.4400000000000002,1.4400000000000002,-0.41999999999999993,0.41999999999999993,0.6700000000000002,0.6700000000000002,0.43000000000000016,0.43000000000000016,0.5300000000000002,0.5300000000000002,1.86,False,False,False,False,False,True
SANG_CMR_EXT_024,R38328642,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3-methyl-",91666-89-6,Cc1cc2ccc3occc3c2oc1=O,LFOMIXFRGAIFQF-UHFFFAOYSA-N,2.49,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.193,43.35,0,3,15,False,True,True,False,False,CC1=CC2=CC=C3OC=CC3=C2OC1=O,C12H8O3,LFOMIXFRGAIFQF,True,False,False,True,True,O=c1oc2c(cc1C)ccc1c2cco1,,1.53,2.85,1.76,1.98,2.03,,,0.9600000000000002,0.9600000000000002,-0.3599999999999999,0.3599999999999999,0.7300000000000002,0.7300000000000002,0.5100000000000002,0.5100000000000002,0.4600000000000004,0.4600000000000004,1.32,False,False,False,False,False,True
SANG_CMR_EXT_025,R38328643,"7H-Furo[3,2-g][1]benzopyran-7-one, 3-methyl-",1137-75-3,Cc1coc2cc3oc(=O)ccc3cc12,NHIJIVPEMQAWBA-UHFFFAOYSA-N,2.47,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.193,43.35,0,3,15,False,True,True,False,False,CC1=COC2=CC3=C(C=CC(=O)O3)C=C12,C12H8O3,NHIJIVPEMQAWBA,True,False,False,False,True,O=c1ccc2c(o1)cc1c(c2)c(co1)C,,0.99,2.85,1.76,2.0,1.9,,,1.4800000000000002,1.4800000000000002,-0.3799999999999999,0.3799999999999999,0.7100000000000002,0.7100000000000002,0.4700000000000002,0.4700000000000002,0.5700000000000003,0.5700000000000003,1.86,False,False,False,False,False,True
SANG_CMR_EXT_026,R38331371,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,8-dimethyl-",4063-41-6,Cc1cc2c(ccc3c(C)cc(=O)oc32)o1,PFFGIQUVLUEURV-UHFFFAOYSA-N,2.79,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=CC2=C3OC(=O)C=C(C)C3=CC=C2O1,C13H10O3,PFFGIQUVLUEURV,True,False,False,True,True,Cc1oc2c(c1)c1oc(=O)cc(c1cc2)C,,1.93,3.16,2.03,2.45,2.39,,,0.8600000000000001,0.8600000000000001,-0.3700000000000001,0.3700000000000001,0.7600000000000002,0.7600000000000002,0.33999999999999986,0.33999999999999986,0.3999999999999999,0.3999999999999999,1.2300000000000002,False,False,False,False,False,True
SANG_CMR_EXT_027,R38331373,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,8-dimethyl-",76605-65-7,Cc1cc2c(cc(C)c3ccc(=O)oc32)o1,RINHXDAQQJHPOB-UHFFFAOYSA-N,2.92,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.22,43.35,0,3,16,False,True,True,False,False,CC1=CC2=C3OC(=O)C=CC3=C(C)C=C2O1,C13H10O3,RINHXDAQQJHPOB,True,False,False,True,True,O=c1ccc2c(o1)c1cc(oc1cc2C)C,,1.39,3.16,2.03,2.47,2.26,,,1.53,1.53,-0.2400000000000002,0.2400000000000002,0.8900000000000001,0.8900000000000001,0.44999999999999973,0.44999999999999973,0.6600000000000001,0.6600000000000001,1.7700000000000002,False,False,False,False,False,True
SANG_CMR_EXT_028,R38331375,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5,9-dimethyl-",5762-92-5,Cc1cc2occ(C)c2c2oc(=O)ccc12,SYNCKGPPLJHSSM-UHFFFAOYSA-N,2.92,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.22,43.35,0,3,16,False,True,True,False,False,CC1=COC2=CC(C)=C3C=CC(=O)OC3=C12,C13H10O3,SYNCKGPPLJHSSM,True,False,False,True,True,O=c1ccc2c(o1)c1c(C)coc1cc2C,,1.35,3.16,2.03,2.47,2.25,,,1.5699999999999998,1.5699999999999998,-0.2400000000000002,0.2400000000000002,0.8900000000000001,0.8900000000000001,0.44999999999999973,0.44999999999999973,0.6699999999999999,0.6699999999999999,1.81,False,False,False,False,False,True
SANG_CMR_EXT_029,R38331377,"2H-Furo[2,3-h]-1-benzopyran-2-one, 4,9-dimethyl-",22975-76-4,Cc1cc(=O)oc2c1ccc1occ(C)c12,ZUOUYRRXKPHFSV-UHFFFAOYSA-N,2.81,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.22,43.35,0,3,16,False,True,True,False,False,CC1=COC2=CC=C3C(C)=CC(=O)OC3=C12,C13H10O3,ZUOUYRRXKPHFSV,True,False,False,True,True,O=c1cc(C)c2c(o1)c1c(C)coc1cc2,,1.9,3.16,2.03,2.45,2.38,,,0.9100000000000001,0.9100000000000001,-0.3500000000000001,0.3500000000000001,0.7800000000000002,0.7800000000000002,0.3599999999999999,0.3599999999999999,0.43000000000000016,0.43000000000000016,1.2600000000000002,False,False,False,False,False,True
SANG_CMR_EXT_030,R38331379,"7H-Furo[3,2-g][1]benzopyran-7-one, 5,6-dimethyl-",7469-12-7,Cc1c(C)c2cc3ccoc3cc2oc1=O,SWVLWPCPLVHMHY-UHFFFAOYSA-N,2.77,0,N = 0,1.5 ≤ logP ≤ 3.0,3,214.21999999999997,43.35,0,3,16,False,True,True,False,False,CC1=C(C)C2=C(OC1=O)C=C1OC=CC1=C2,C13H10O3,SWVLWPCPLVHMHY,True,False,False,False,True,Cc1c(=O)oc2c(c1C)cc1c(c2)occ1,,2.44,3.16,2.03,2.43,2.51,,,0.33000000000000007,0.33000000000000007,-0.3900000000000001,0.3900000000000001,0.7400000000000002,0.7400000000000002,0.33999999999999986,0.33999999999999986,0.26000000000000023,0.26000000000000023,1.1300000000000003,False,False,False,False,False,True
