Compound_ID,atom_index_0based,atom_index_1based,element,Mulliken_charge,Loewdin_charge,is_heavy_atom,sp_output,opt_xyz
CMR_GOLD_020,15,16,C,0.046973,-0.028038,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,16,17,C,-0.104464,-0.18397,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,17,18,S,0.147057,0.451825,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,18,19,C,0.056726,-0.099257,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,19,20,N,-0.070626,0.104362,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,20,21,C,0.124729,0.079583,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,21,22,C,-0.093507,-0.135232,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,22,23,C,0.165486,0.116075,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,23,24,O,-0.260897,-0.199332,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,24,25,C,0.063769,0.00329,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,25,26,C,0.026638,-0.042274,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,26,27,C,-0.009557,-0.011054,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,27,28,C,0.005822,-0.02464,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,28,29,C,0.012211,-0.020614,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,29,30,C,-0.001976,-0.02475,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,30,31,C,-0.017861,-0.01829,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
CMR_GOLD_020,31,32,N,-0.127784,-0.117326,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\output\CMR_GOLD_020_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_020\geometry\CMR_GOLD_020_opt.xyz
