Compound_ID,SMILES,FM,N_count,logP_exp,Consensus,delta_Consensus,Spread4,Coumarin_Type,Structural_Class,overestimated,severe_overestimation,severe_error_abs_ge_2,A1_high_spread4,A2_high_consensus,A3_high_spread4_and_high_consensus,A4_n_bearing_high_spread4_high_consensus,A5_n_bearing_conjugated_high_spread4_or_high_consensus,A6_n_1_3_conjugated_high_spread4_or_high_consensus,A7_n_ge_4_mixed_highN_provisional,A8_n_free_pi_extended_boundary,A9_lower_concern_screen
CMR_GOLD_071,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=CC=C(Cl)C=C5,FM3,4,1.421,2.93,-1.509,3.0000000000000004,triazolo_thiadiazinyl_coumarin,,True,False,False,True,False,False,False,False,False,True,False,False
CMR_GOLD_072,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=C(Cl)C=C(Cl)C=C5,FM3,4,1.471,3.4,-1.929,2.9599999999999995,triazolo_thiadiazinyl_coumarin,,True,False,False,True,True,True,True,False,False,True,False,False
CMR_GOLD_073,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC4=CC3=C(OCCO3)C=C4,FM2,1,2.07,3.39,-1.3200000000000005,2.1900000000000004,phosphonate_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_074,COC1=CC=C(C=C1)CCNC(C)C2=C(C3=C(OC2=O)C=CC=C3)[P](OCC)(OCC)=O,FM2,1,2.43,3.76,-1.3299999999999996,2.2,phosphonate_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_075,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC3=CC=CC4=C3C=CC=C4,FM2,1,2.65,4.38,-1.73,2.29,phosphonate_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_076,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NCC3=CC=C(F)C=C3,FM2,1,2.52,3.81,-1.29,1.75,phosphonate_coumarin,,True,False,False,False,True,False,False,True,True,False,False,False
CMR_GOLD_077,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC5=CC=C(C4=C(C(OCC)=O)C3=C(C=CC=C3)N=C4)C=C5,FM2,2,2.8,5.36,-2.5600000000000005,3.2500000000000004,phosphonate_coumarin,,True,True,True,True,True,True,True,True,True,False,False,False
CMR_GOLD_078,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,FM3,4,2.25,2.32,-0.0699999999999998,0.22999999999999998,conjugated_coumarin,,True,False,False,False,False,False,False,False,False,True,False,False
CMR_GOLD_079,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4O,FM3,4,2.02,1.97,0.05,0.8799999999999999,conjugated_coumarin,,False,False,False,False,False,False,False,False,False,True,False,False
CMR_GOLD_080,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,FM3,5,1.9,1.59,0.3099999999999998,1.52,conjugated_coumarin,,False,False,False,False,False,False,False,False,False,True,False,False
CMR_GOLD_081,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=C(O)C(OC)=C4,FM3,4,1.95,1.94,0.01,0.5800000000000001,conjugated_coumarin,,False,False,False,False,False,False,False,False,False,True,False,False
